llatitude_utm,longitude_utm
482253.7528,3974453.739
482253.6671,3974453.233
482253.5391,3974452.728
482253.3261,3974452.096
482253.1979,3974451.506
482253.112,3974450.916
482253.0678,3974449.988
482252.9811,3974448.977
482252.8528,3974448.345
482252.682,3974447.629
482252.6725,3974447.045
482252.5938,3974446.676
482252.5732,3974446.152
482252.4942,3974445.667
482252.3569,3974445.279
482252.2978,3974444.988
482252.0432,3974444.464
482251.808,3974443.882
482251.7094,3974443.338
482251.4941,3974442.931
482251.357,3974442.621
482251.1029,3974442.349
482250.81,3974442.156
482250.4976,3974441.962
482250.2435,3974441.691
482249.9895,3974441.459
482249.7354,3974441.187
482249.4619,3974440.955
482249.1689,3974440.722
482248.8564,3974440.49
482248.4855,3974440.316
482248.2122,3974440.181
482247.9194,3974440.007
482247.5681,3974439.891
482247.1583,3974439.775
482246.7292,3974439.737
482250.2405,3974440.196
482252.0142,3974439.726
482253.2616,3974439.374
482254.2166,3974439.062
482255.3665,3974438.691
482256.5159,3974438.125
482257.4319,3974437.793
482257.8925,3974437.584
482256.9141,3974437.721
482255.9893,3974437.922
482254.1149,3974438.399
482252.7154,3974438.825
482251.2917,3974439.6
482250.9674,3974439.999
482250.8679,3974440.248
482250.6935,3974440.547
482250.594,3974440.846
482250.4948,3974441.245
482250.3711,3974441.917
482250.3976,3974442.639
482250.4988,3974443.211
482250.5752,3974443.933
482250.6264,3974444.506
482250.7025,3974445.028
482250.8534,3974445.451
482251.0544,3974445.924
482251.2306,3974446.521
482251.3317,3974447.043
482251.6081,3974447.715
482251.9094,3974448.337
482252.0105,3974448.884
482252.1369,3974449.531
482252.338,3974450.104
482252.5144,3974450.775
482252.691,3974451.522
482252.8174,3974452.194
482252.644,3974453.016
482252.1449,3974453.539
482251.6956,3974453.914
482251.1464,3974454.388
482250.3726,3974455.062
482247.5266,3974457.333
482245.754,3974458.706
