seq,latitude,longitude,latitude_utm,longitude_utm
1505,35.9140846,128.8033753,482259.4705,3974437.104
1509,35.914085,128.8033734,482259.2992,3974437.148
1513,35.9140854,128.8033716,482259.1369,3974437.193
1517,35.9140859,128.8033699,482258.9836,3974437.249
1521,35.9140863,128.8033682,482258.8303,3974437.293
1526,35.9140868,128.8033661,482258.6409,3974437.349
1530,35.9140872,128.8033644,482258.4876,3974437.394
1534,35.9140876,128.8033627,482258.3343,3974437.439
1538,35.9140881,128.803361,482258.1811,3974437.494
1542,35.9140885,128.8033594,482258.0368,3974437.539
1546,35.9140889,128.8033578,482257.8925,3974437.584
1550,35.9140893,128.8033562,482257.7483,3974437.628
